timestamp,open,high,low,close,volume,trade_count,vwap
2025-01-13 09:00:00+00:00,217.73,218.3,216.5,216.68,4954.0,192.0,216.867816
2025-01-13 09:01:00+00:00,216.55,216.58,216.55,216.58,1229.0,73.0,216.554418
2025-01-13 09:02:00+00:00,216.53,216.53,216.46,216.46,2430.0,64.0,216.489906
2025-01-13 09:03:00+00:00,216.4,216.44,216.39,216.39,1753.0,55.0,216.403941
2025-01-13 09:04:00+00:00,216.11,216.11,215.89,215.89,3353.0,211.0,216.002146
2025-01-13 09:05:00+00:00,215.79,215.79,215.6,215.6,2604.0,64.0,215.671801
2025-01-13 09:06:00+00:00,215.6,215.64,215.55,215.64,2431.0,81.0,215.593182
2025-01-13 09:07:00+00:00,215.65,215.65,215.64,215.64,1133.0,30.0,215.646988
2025-01-13 09:08:00+00:00,215.69,216.1,215.69,216.1,3671.0,53.0,215.835225
2025-01-13 09:09:00+00:00,216.04,216.04,216.02,216.03,1031.0,40.0,216.026667
2025-01-13 09:10:00+00:00,216.1,216.1,215.99,215.99,2196.0,42.0,216.060119
2025-01-13 09:11:00+00:00,215.9,215.9,215.9,215.9,1449.0,23.0,215.9
2025-01-13 09:12:00+00:00,215.97,215.99,215.97,215.99,1530.0,33.0,215.9875
2025-01-13 09:13:00+00:00,216.09,216.11,216.09,216.11,1108.0,31.0,216.103966
2025-01-13 09:15:00+00:00,216.0,216.01,216.0,216.0,1062.0,27.0,216.001451
2025-01-13 09:16:00+00:00,216.0,216.0,215.8,215.8,5234.0,33.0,215.864615
2025-01-13 09:18:00+00:00,215.91,215.91,215.83,215.83,2941.0,27.0,215.893242
2025-01-13 09:20:00+00:00,215.86,215.86,215.86,215.86,1008.0,33.0,215.86
2025-01-13 09:21:00+00:00,215.99,216.0,215.98,216.0,873.0,39.0,215.990446
2025-01-13 09:23:00+00:00,216.0,216.1,216.0,216.1,942.0,31.0,216.05
2025-01-13 09:25:00+00:00,215.85,215.85,215.85,215.85,950.0,38.0,215.85
2025-01-13 09:27:00+00:00,215.76,215.76,215.76,215.76,300.0,13.0,215.76
2025-01-13 09:28:00+00:00,215.81,215.85,215.81,215.85,802.0,27.0,215.836667
2025-01-13 09:30:00+00:00,215.87,215.87,215.86,215.86,588.0,17.0,215.867143
2025-01-13 09:32:00+00:00,215.99,215.99,215.99,215.99,613.0,15.0,215.99
2025-01-13 09:36:00+00:00,216.0,216.0,216.0,216.0,363.0,18.0,216.0
2025-01-13 09:37:00+00:00,215.99,216.0,215.99,216.0,2242.0,15.0,215.999519
2025-01-13 09:40:00+00:00,216.1,216.1,215.83,215.83,1235.0,37.0,215.907419
2025-01-13 09:45:00+00:00,215.98,215.98,215.95,215.95,424.0,22.0,215.965
2025-01-13 09:47:00+00:00,215.79,215.82,215.79,215.82,950.0,143.0,215.806667
2025-01-13 09:49:00+00:00,215.74,215.74,215.74,215.74,416.0,14.0,215.74
2025-01-13 09:50:00+00:00,215.72,215.72,215.68,215.68,1021.0,23.0,215.685284
2025-01-13 09:56:00+00:00,215.67,215.67,215.65,215.65,1093.0,46.0,215.654619
2025-01-13 09:58:00+00:00,215.68,215.68,215.68,215.68,301.0,15.0,215.68
2025-01-13 10:00:00+00:00,215.76,215.76,215.76,215.76,428.0,88.0,215.76
2025-01-13 10:01:00+00:00,215.74,215.74,215.74,215.74,581.0,36.0,215.74
2025-01-13 10:04:00+00:00,215.83,215.83,215.83,215.83,498.0,18.0,215.83
2025-01-13 10:07:00+00:00,215.72,215.72,215.72,215.72,258.0,8.0,215.72
2025-01-13 10:14:00+00:00,215.86,215.93,215.86,215.93,422.0,19.0,215.895
2025-01-13 10:20:00+00:00,216.18,216.2,216.18,216.2,534.0,22.0,216.191279
2025-01-13 10:22:00+00:00,216.12,216.2,216.12,216.2,1527.0,116.0,216.176471
2025-01-13 10:30:00+00:00,216.25,216.4,216.25,216.4,1346.0,48.0,216.309091
2025-01-13 10:34:00+00:00,216.32,216.32,216.32,216.32,124.0,9.0,216.32
2025-01-13 10:35:00+00:00,216.31,216.31,216.31,216.31,269.0,11.0,216.31
2025-01-13 10:40:00+00:00,216.25,216.25,216.23,216.23,711.0,21.0,216.235747
